Año;Autoridad Portuaria;Graneles Líquidos;Graneles Sólidos;Mercancía General;Pesca Fresca;Avituallamiento;Tráfico Local;TOTAL TRAFICO;TEUS;Buques
2006;Castellón;8.120.272;3.590.891;1.546.441;8.584;47.531;0;13.313.719;71.660;1.308
2006;Ceuta;964.503;66.793;891.278;138;509.307;0;2.432.019;10.623;10.190
2006;Ferrol-S. Cibrao;936.920;8.709.257;557.720;159;23.520;269;10.227.845;1.249;1.117
2006;Gijón;1.356.232;18.298.185;600.585;13.470;219.821;0;20.488.293;7.740;1.009
2006;Huelva;13.381.338;7.394.282;684.392;3.019;94.963;29.290;21.587.284;0;1.658
2006;Las Palmas;4.833.722;1.678.836;17.207.110;4.868;2.165.264;0;25.889.800;1.311.958;9.544
2006;Málaga;66.448;1.953.430;4.050.136;2.090;126.134;0;6.198.238;464.838;1.786
2006;Marín y Ría de Pontevedra;10;891.966;867.099;4.369;69.875;582;1.833.901;37.423;634
2006;Melilla;74.447;45.826;690.467;0;31.176;0;841.916;21.227;1.163
2006;Motril;1.422.384;1.172.380;258.962;3.974;18.828;0;2.876.528;32;471
2006;Pasaia;0;3.248.288;2.203.265;7.313;45.696;0;5.504.562;0;1.547
2006;Santa Cruz de Tenerife;9.542.821;1.986.964;7.333.756;7.456;1.002.766;49.775;19.923.538;465.729;17.628
2006;Santander;425.652;4.164.897;1.265.836;6.515;65.525;0;5.928.425;134;1.541
2006;Sevilla;358.727;2.827.598;2.094.739;0;58.720;0;5.339.784;122.611;1.471
2006;Tarragona;18.646.119;11.237.751;1.443.978;4.381;180.891;2.398;31.515.518;12.203;2.729
2006;Valencia;4.355.962;7.148.231;35.781.578;1.576;253.027;0;47.540.374;2.612.049;7.045
2006;Vigo;89.225;701.899;3.932.990;91.985;446.725;429;5.263.253;226.927;2.308
2006;Vilagarcía;334.244;613.257;246.416;0;10.776;0;1.204.693;150;351
2005;A Coruña;8.533.758;4.437.796;1.015.276;28.924;107.675;411.247;14.534.676;0;1.378
2005;Alicante;151.912;1.667.536;1.674.487;3.754;58.917;0;3.556.606;159.237;1.338
2005;Almería;9.479;6.306.756;535.818;5.583;142.217;0;6.999.853;81;2.343
2005;Avilés;740.095;3.082.731;1.125.878;17.000;55.598;0;5.021.302;10.851;914
2005;Bahía de Algeciras;21.447.071;2.652.263;39.467.683;1.119;2.814.928;1.963.522;68.346.586;3.179.300;22.154
2005;Bahía de Cádiz;107.985;2.557.442;3.036.943;26.209;84.164;0;5.812.743;138.441;1.707
